episode,total_reward,avg_loss,steps,epsilon,moving_avg_reward,x_pos,flag_get,coins,status,time_elapsed
1,591.0,3.374883,147,0.749449,591.0,677,0,1,small,10.3
2,775.0,3.569346,340,0.748176,683.0,898,0,2,small,34.5
3,1000.0,3.354822,345,0.746886,788.67,1123,0,0,small,58.2
4,233.0,3.540976,36,0.746752,649.75,297,0,1,small,61.0
5,244.0,3.514034,36,0.746618,568.6,307,0,0,small,63.8
6,215.0,3.497068,51,0.746427,509.67,283,0,0,small,67.4
7,700.0,3.315974,716,0.74376,536.86,898,0,0,small,117.5
8,1319.0,2.827149,303,0.742634,634.62,1437,0,1,small,139.1
9,632.0,3.054965,88,0.742307,634.33,707,0,0,small,145.4
10,227.0,3.251553,44,0.742144,593.6,292,0,1,small,148.8
11,1527.0,3.326752,409,0.740628,687.2,1666,0,1,small,238.2
12,992.0,3.758923,385,0.739203,708.9,1125,0,1,small,264.9
13,696.0,3.807649,738,0.736481,678.5,898,0,0,small,310.0
14,777.0,3.893017,305,0.735359,732.9,892,0,0,small,327.8
15,791.0,3.671697,201,0.73462,787.6,889,0,1,small,341.3
16,638.0,3.915053,145,0.734087,829.9,722,0,0,small,351.4
17,1197.0,3.89655,797,0.731168,879.6,1413,0,1,small,406.8
18,224.0,4.742568,46,0.731,770.1,291,0,0,small,410.1
19,650.0,4.0386,678,0.728526,771.9,843,0,0,small,460.6
20,634.0,3.770397,163,0.727932,812.6,720,0,0,small,474.0
